code,Bronze,Gold,Silver,total
AFG,1,0,0,1
ARE,0,1,0,1
ARG,13,4,5,22
ARM,7,1,1,9
AUS,110,74,92,276
AUT,8,7,12,27
AZE,9,4,3,16
BDI,0,1,0,1
BEL,16,6,10,32
BGR,62,38,59,159
BHS,3,3,2,8
BLR,36,10,20,66
BMU,1,0,0,1
BRA,35,17,23,75
BRB,1,0,0,1
CAN,60,32,59,151
CHE,19,12,21,52
CHL,2,2,2,6
CHN,104,163,117,384
CMR,1,3,0,4
COL,5,1,2,8
CRI,2,1,1,4
CUB,56,59,54,169
CZE,11,10,12,33
DEU,269,263,224,756
DJI,1,0,0,1
DNK,25,16,12,53
DOM,1,2,1,4
DZA,8,4,2,14
ECU,0,1,1,2
EGY,4,1,2,7
ERI,1,0,0,1
ESP,27,32,45,104
EST,5,3,2,10
ETH,12,15,5,32
FIN,18,17,14,49
FRA,102,73,70,245
GBR,98,63,81,242
GEO,11,5,2,18
GHA,1,0,0,1
GRC,13,17,19,49
GUY,1,0,0,1
HRV,8,3,6,17
HUN,59,59,54,172
IDN,10,6,11,27
IND,4,2,1,7
IRL,4,4,5,13
IRN,8,7,6,21
ISL,2,0,1,3
ISR,5,1,1,7
ITA,78,80,64,222
JAM,16,10,18,44
JPN,74,59,53,186
KAZ,14,9,16,39
KEN,17,18,21,56
KGZ,2,0,1,3
KOR,65,70,69,204
KWT,1,0,0,1
LBN,1,0,0,1
LKA,0,0,1,1
LTU,8,4,4,16
LVA,3,2,9,14
MAR,10,6,4,20
MDA,3,0,2,5
MEX,15,6,10,31
MKD,1,0,0,1
MNG,7,2,5,14
MOZ,1,1,0,2
MUS,1,0,0,1
MYS,2,0,2,4
NAM,0,0,4,4
NGA,10,2,9,21
NLD,50,36,44,130
NOR,11,19,19,49
NZL,26,24,15,65
PAK,3,1,0,4
PAN,0,1,0,1
PER,0,0,3,3
PHL,2,0,1,3
POL,61,34,49,144
PRI,4,0,1,5
PRK,16,9,11,36
PRT,6,4,5,15
PRY,0,0,1,1
QAT,2,0,0,2
ROU,84,67,67,218
RUS,111,108,97,316
SAU,1,0,1,2
SDN,0,0,1,1
SEN,0,0,1,1
SGP,0,0,1,1
SRB,2,0,3,5
SUR,1,1,0,2
SVK,5,7,8,20
SVN,7,3,5,15
SWE,30,20,42,92
SYR,1,1,1,3
TGO,1,0,0,1
THA,10,7,4,21
TJK,1,0,1,2
TON,0,0,1,1
TRI,4,1,3,8
TUN,1,1,0,2
TUR,15,14,11,40
TWN,10,2,5,17
TZA,0,0,2,2
UGA,1,0,1,2
UKR,46,28,22,96
URY,0,0,1,1
USA,245,346,297,888
UZB,8,4,5,17
VEN,6,0,2,8
VNM,0,0,2,2
ZAF,6,4,9,19
ZMB,1,0,1,2
ZWE,1,3,4,8
