code,Bronze,Gold,Silver,total
ARG,6,0,2,8
AUS,44,33,35,112
AUT,3,2,2,7
AZE,3,1,0,4
BEL,8,3,3,14
BGR,18,11,20,49
BHS,1,3,1,5
BLR,14,6,7,27
BRA,7,3,6,16
CAN,28,13,25,66
CHE,6,2,8,16
CHN,59,91,67,217
CMR,0,2,0,2
COL,4,1,0,5
CRI,2,1,1,4
CUB,17,11,15,43
CZE,3,4,4,11
DEU,103,119,96,318
DNK,8,4,2,14
DZA,1,2,0,3
ESP,10,7,10,27
EST,0,1,0,1
ETH,5,6,2,13
FIN,1,2,2,5
FRA,27,20,19,66
GBR,35,15,22,72
GEO,1,0,0,1
GRC,5,4,8,17
HRV,3,0,1,4
HUN,14,17,14,45
IDN,4,1,6,11
IND,1,0,0,1
IRL,1,3,1,5
ISL,1,0,0,1
ISR,0,0,1,1
ITA,15,19,22,56
JAM,11,6,12,29
JPN,26,19,20,65
KAZ,2,1,2,5
KEN,0,2,6,8
KOR,21,28,22,71
LKA,0,0,1,1
LTU,2,1,2,5
LVA,0,0,1,1
MAR,2,1,1,4
MEX,4,2,2,8
MNG,1,0,1,2
MOZ,1,1,0,2
NGA,5,1,3,9
NLD,30,22,24,76
NOR,4,6,7,17
NZL,5,5,4,14
PER,0,0,1,1
POL,14,5,9,28
PRK,5,3,5,13
PRT,2,2,1,5
ROU,36,51,36,123
RUS,33,41,52,126
SGP,0,0,1,1
SRB,0,0,1,1
SVK,0,2,3,5
SVN,3,0,2,5
SWE,6,6,9,21
SYR,0,1,0,1
THA,4,3,1,8
TUR,2,1,4,7
TWN,6,1,2,9
UKR,20,14,9,43
USA,104,122,112,338
UZB,1,0,0,1
VEN,2,0,0,2
VNM,0,0,1,1
ZAF,2,2,3,7
ZWE,1,3,4,8
